id	neighbourhood
9957535	Richmond Hill
7336085	Hell's Kitchen
14282908	Greenpoint
14807186	Crown Heights
235552	Park Slope
9171076	Tribeca
10875014	Bushwick
1306749	Hamilton Heights
15247382	
11006074	Lower East Side
651375	Soho
5763191	
5763192	
14504638	Coney Island
14413929	
9039966	Hell's Kitchen
3666015	Bedford-Stuyvesant
4190301	Bedford-Stuyvesant
14151765	
5766499	Bushwick
12709963	Greenwich Village
2617406	Chelsea
7729215	Bedford-Stuyvesant
1044502	Harlem
9039932	Windsor Terrace
12189021	Upper East Side
4190259	Boerum Hill
7204890	Upper East Side
14807078	East Village
11205980	Hell's Kitchen
12709920	Washington Heights
15069224	
9957412	Upper East Side
6156319	Upper East Side
4059166	Bushwick
3010571	Clinton Hill
10088464	East Village
3272721	Prospect Heights
13496334	Crown Heights
11005964	Flatiron District
9826308	Williamsburg
10088441	
12054516	Crown Heights
12756990	Midtown East
6156278	Hell's Kitchen
8777714	Harlem
15069169	Upper East Side
1175536	Harlem
7729132	Alphabet City
2093035	Williamsburg
9349116	Williamsburg
12972008	Gramercy Park
14935251	Upper East Side
14744912	
389050	Park Slope
2093026	Williamsburg
9786021	Flatbush
12185549	Upper East Side
1961937	Hamilton Heights
1307123	Bushwick
1307228	Bushwick
1306570	Bushwick
15069131	Concourse
8253376	Emerson Hill
14282693	
5631916	Upper East Side
3272628	Harlem
4059037	Bedford-Stuyvesant
9039772	Flatbush
8905281	Greenwich Village
9564037	Chelsea
11548380	Alphabet City
7729018	
3010430	Chelsea
13496176	
13889399	Astoria
2355060	Harlem
7204721	Crown Heights
7602158	Alphabet City
13478138	Crown Heights
14089808	East Harlem
9827799	
8123857	Upper East Side
8257585	Soho
12580288	Williamsburg
8648134	
10614204	Harlem
13235639	
2487728	Park Slope
283550	Hell's Kitchen
14415283	Washington Heights
802983	Upper West Side
873373	Greenpoint
12318111	Little Italy
783705	West Village
2356598	East Village
9434513	Boerum Hill
1570204	East Village
259443	Bushwick
4456004	Bushwick
9696653	Greenwich Village
4322711	South Ozone Park
9434495	Midwood
763878	Lower East Side
3272552	Williamsburg
12971882	
126816	Upper West Side
8908636	Murray Hill
9957205	Williamsburg
10612564	Upper West Side
14548280	
9130634	Hell's Kitchen
7729804	Crown Heights
13496129	Crown Heights
2748209	Williamsburg
14151487	Bedford-Stuyvesant
12560351	Lefferts Garden
10252115	Lefferts Garden
5369624	
14020396	Harlem
3363462	Upper East Side
7819909	Astoria
9826081	Crown Heights
13496080	Greenwich Village
12185367	Astoria
9826062	Murray Hill
3272466	Sunnyside
257802	Lower East Side
9957112	Bushwick
9301755	Lower East Side
15072553	Elmhurst
782063	Bedford-Stuyvesant
9563873	Jamaica
15068901	Hell's Kitchen
7859932	Williamsburg
12185292	Bensonhurst
6811364	Financial District
13496019	Williamsburg
2748094	East Village
10874577	
7665764	Sunnyside
7204547	Fort Greene
9825967	Ditmars / Steinway
13233856	Upper West Side
9039548	Chelsea
519805	
2879157	Morningside Heights
11421345	Hell's Kitchen
2748064	Hell's Kitchen
14020260	Bedford-Stuyvesant
10572399	
9694873	Hell's Kitchen
12054152	
9825939	Williamsburg
8515213	Times Square/Theatre District
12185225	Concourse
9170572	East Harlem
11792006	Bedford-Stuyvesant
6155904	Clinton Hill
3534443	Lower East Side
14282356	Hell's Kitchen
7859825	
650867	South Williamsburg
2748016	Williamsburg
5238378	Astoria
11791968	Williamsburg
8777316	Sunset Park
4976218	Long Island City
3844026	Greenwich Village
2485774	Williamsburg
14151255	East Village
6155857	West Village
2092611	Upper East Side
11923008	Midtown
9956933	Upper East Side
3534379	Kips Bay
1961533	Williamsburg
11923007	Williamsburg
9301562	Williamsburg
4976184	Alphabet City
12792257	Roosevelt Island
14282287	East Harlem
12447273	Boerum Hill
10350120	Upper West Side
9694758	East Harlem
606513	Greenwich Village
4845083	Inwood
14806546	Clinton Hill
14282264	Greenwich Village
2223628	Fordham
7859723	Chelsea
3272201	West Village
14282247	
6942211	
4058615	Upper West Side
5893612	Lower East Side
9956834	Harlem
10612199	Harlem
5058324	
14282208	
14282188	Washington Heights
10087874	
1174944	Soho
519615	Windsor Terrace
4713896	Bedford-Stuyvesant
13757845	
12184978	Flatiron District
781709	Upper East Side
12709260	
9956744	Hell's Kitchen
13495691	Downtown Brooklyn
826603	Crown Heights
9563529	Washington Heights
7728510	Harlem
10087811	
9039236	
4582781	Williamsburg
1437044	West Village
12184956	Greenpoint
912721	Gowanus
10612067	Upper East Side
5826475	Hamilton Heights
1830244	Bushwick
12053854	
1961288	Lower East Side
2747695	East Village
13102409	Financial District
13495628	Upper West Side
6967861	Bay Ridge
8777022	Chelsea
12971313	Harlem
4582684	Fort Greene
9956649	Upper West Side
2223399	Hell's Kitchen
3403034	Hamilton Heights
5500197	Williamsburg
14150931	Carroll Gardens
14806290	
1830154	East Village
8973292	
14568607	West Village
13233408	Greenpoint
8671786	Williamsburg
6170486	Upper East Side
11529467	Crown Heights
9825517	Harlem
6155500	
2487073	
7205668	Greenpoint
10810807	Brooklyn Heights
3666709	Upper East Side
8778515	
6388721	West Village
3666653	Bay Ridge
258774	Columbia Street Waterfront
3797745	Gramercy Park
3928833	Bushwick
3797738	Astoria
1831664	Union Square
10875630	Williamsburg
7205584	Williamsburg
258740	Harlem
239733	Astoria
7074504	Park Slope
12972736	Midtown East
13234869	Jamaica
14283446	Hell's Kitchen
14807736	Alphabet City
9695932	Park Slope
12055213	Hamilton Heights
13103786	Upper East Side
7205531	
6288004	
6924400	Greenwich Village
10351249	
9302678	Williamsburg
258688	Meatpacking District
258686	Jamaica
1569396	Flatbush
14545528	Astoria
9826940	Morningside Heights
6812270	Bedford-Stuyvesant
14198884	Upper East Side
